0.9963666667	3 6
0.6057666667	3 364
0.6057666667	3 209
0.5938777778	24 3
0.5838777778	1643 3
0.5690777778	3 7
0.5690777778	3 50
0.5631888889	2 3
0.5591888889	3175 3
0.4890777778	3 3
0.4774777778	25 3
0.4661888889	6 3
0.4377666667	3 242
0.4377666667	3 481
0.4288777778	2298 3
0.4248777778	1966 3
0.4198777778	1642 3
0.4198777778	3259 3
0.4160777778	3 3455
0.4127666667	3 194
0.4097666667	3 4322
0.4088777778	37 3
0.4077666667	3 3404
0.4068777778	1557 3
0.4061888889	27 3
0.4047888889	5914 31896 6 21009 32004 3 7 16037
0.4047888889	0 5914 0 5914 0
0.4047666667	3 518
0.4047666667	3 1575
0.3968777778	63 6
0.3918777778	406 3
0.3918777778	6 1611
0.3900777778	3 33
0.3888777778	2298 27
0.3888777778	25 47
0.3888777778	1966 27
0.3858777778	1557 27
0.3858777778	1556 15
0.3858777778	1611 2
0.3850777778	3 15
0.3848777778	1537 27
0.3848777778	0 991
0.3848777778	0 29
0.3848777778	0 97
0.3848777778	29 52
0.3828777778	52 1519
0.3828777778	124 412
0.3818777778	332 27
0.3808777778	832 27
0.3808777778	1682 63
0.3808777778	1992 5
0.3808777778	2138 24
0.3808777778	1057 24
0.3808777778	412 159
0.3808777778	360 27
0.3798777778	24 2594
0.3791888889	2 40
0.3778777778	1593 24
0.3778777778	3781 27
0.3778777778	558 27
0.3778777778	3465 24
0.3778777778	1371 27
0.3770777778	3 2
0.3770777778	3 24
0.3770777778	3 37
0.3770777778	3 159
0.3650777778	3 50 6
0.3611888889	2 25 6
0.3610777778	3 7 377 1529
0.3601888889	1632 1527 2
0.3591888889	37 6 2 3
0.3591888889	52 371
0.3581888889	2 377 1027 47
0.3571888889	412 2 25
0.3571888889	260 384
0.3571888889	56 375
0.3571888889	6 7 3
0.3571888889	12 76
0.3561888889	2 6 7 3 7
0.3561888889	52 371 2
0.3551888889	2 25 6 558 27 3
0.3551888889	2 25 6 384 27 3
0.3551888889	2 25 6 449 27 3
0.3551888889	159 25 6 27 3
0.3551888889	2 25 6 27 3
0.3551888889	24 6 7
0.3551888889	2 6 7
0.3551888889	37 6 7
0.3551888889	25 6 2411
0.3551888889	1680 1527
0.3551888889	4 5
0.3551888889	2 25 6 128 27 3
0.3551888889	1790 63 6 7 3
0.3551888889	25 47 27 3
0.3551888889	2 3 50 6
0.3551888889	27 6 7
0.3551888889	159 25 6
0.3551888889	0 6 7
0.3551888889	25 6 7
0.3551888889	122 5
0.3541888889	452 453 2 6 7
0.3541888889	8 8801 2987 2343 2358
0.3541888889	2 377 1027 1028
0.3541888889	2 25 2155 2832
0.3541888889	6 7 1643
0.3541888889	1790 63 6
0.3541888889	27120 24937
0.3541888889	2155 2832
0.3541888889	2155 2850
0.3541888889	1533 3873
0.3541888889	377 1529
0.3541888889	377 3703
0.3541888889	0 97 124 412
0.3541888889	377 1027 894
0.3541888889	1632 1527
0.3541888889	1555 679
0.3541888889	2155 2156
0.3531888889	2 25 6 449 27
0.3531888889	2 25 6 558 27
0.3531888889	124 412 37
0.3531888889	2 6 2
0.3531888889	24 6 2
0.3531888889	27 6 2
0.3531888889	6 7 53
0.3531888889	6 124 53
0.3531888889	37 6 2
0.3531888889	15 6 2
0.3521888889	452 453 2
0.3521888889	0 97 124
0.3521888889	5 425 5
0.3521888889	452 453
0.3521888889	33 991
0.3521888889	33 29
0.3521888889	30 122 5
0.2681888889	6 6
0.2537666667	3 47
0.2477666667	3 3444
0.2477666667	3 1537
0.2447666667	3 681
0.2447666667	3 859
0.2447666667	3 1679
0.2447666667	3 1969
0.2447666667	3 1472
0.2447666667	3 171
0.2437666667	3 3875
0.2437666667	3 230
0.2437666667	40 3
0.2437666667	3 998
0.2437666667	3 1980
0.2427666667	3 648
0.2427666667	3 2463
0.2417666667	3 1571
0.2407666667	3 3452
0.2397666667	3 2344
0.2387888889	6 21009 32004 3 7
0.2387666667	16 24
0.2377888889	124 5796 159 25 4887 9438 32356 25 6982 27
0.2377888889	5796 159 25 4887 9438 32356 25 6982 27 25
0.2368777778	63 3
0.2367666667	3 2517
0.2367666667	3 155
0.2367666667	3 1577
0.2358777778	12 25
0.2358777778	58 25
0.2350777778	3 1542
0.2318777778	159 3
0.2318777778	74 53
0.2308777778	58 3
0.2308777778	463 3
0.2308777778	179 3
0.2308777778	959 3
0.2308777778	308 3
0.2308777778	25 40
0.2298777778	3167 3
0.2280777778	3 449
0.2280777778	3 128
0.2280777778	3 3197
0.2278777778	3182 3
0.2278777778	2544 3
0.2278777778	1961 3
0.2278777778	859 3
0.2278777778	402 3
0.2278777778	1598 3
0.2278777778	87 3
0.2270777778	3 179
0.2270777778	3 9483
0.2270777778	3 10161
0.2270777778	3 1200
0.2270777778	3 1950
0.2270777778	3 2411
0.2270777778	3 2586
0.2270777778	3 234
0.2270777778	3 2013
0.2270777778	3 437
0.2268777778	52 221
0.2268777778	378 15
0.2268777778	1966 40
0.2268777778	1675 3
0.2268777778	203 124
0.2268777778	76 56
0.2268777778	76 53
0.2268777778	0 816
0.2258777778	25 377
0.2250777778	40 15
0.2250777778	3 124
0.2248777778	2 583
0.2248777778	25 1274
0.2248777778	25 1007
0.2248777778	25 2943
0.2248777778	53 377
0.2248777778	2 56
0.2248777778	25 1961
0.2248777778	25 128
0.2238777778	15 438
0.2238777778	588 25
0.2238777778	414 25
0.2238777778	81 2
0.2238777778	0 210
0.2238777778	432 25
0.2238777778	15 19
0.2238777778	1611 15
0.2238777778	463 25
0.2238777778	1406 2
0.2238777778	3190 3
0.2238777778	816 25
0.2238777778	206 25
0.2238777778	4281 3
0.2238777778	2707 3
0.2238777778	3150 3
0.2238777778	1284 25
0.2238777778	25 89
0.2228777778	76 1134
0.2228777778	683 74
0.2228777778	0 1448
0.2228777778	991 52
0.2218777778	6 50
0.2208777778	53 265
0.2208777778	53 525
0.2208777778	56 2220
0.2208777778	159 1666
0.2208777778	377 3680
0.2208777778	25 559
0.2208777778	25 331
0.2208777778	25 78
0.2208777778	859 6
0.2208777778	53 1325
0.2208777778	52 2117
0.2208777778	159 1796
0.2208777778	159 3636
0.2208777778	159 2319
0.2208777778	159 2072
0.2208777778	159 1800
0.2208777778	159 585
0.2208777778	159 373
0.2208777778	159 501
0.2208777778	159 444
0.2208777778	37 1827
0.2200777778	3 0
0.2198777778	2778 0
0.2198777778	124 1166
0.2198777778	2927 99
0.2198777778	596 25
0.2198777778	3423 0
0.2198777778	2329 27
0.2198777778	53 150
0.2198777778	3445 99
0.2198777778	110 99
0.2198777778	1016 99
0.2198777778	1900 27
0.2198777778	24 149
0.2198777778	25 150
0.2191888889	6 2 3
0.2190777778	40 1556
0.2181888889	2516 3
0.2181888889	2038 3
0.2181888889	3026 3
0.2180777778	3 99
0.2180777778	3 63
0.2180777778	3 76
0.2180777778	3 74
0.2180777778	3 816
0.2180777778	3 145
0.2180777778	3 52
0.2180777778	3 5
0.2178777778	44351 6
0.2178777778	3873 6
0.2178777778	6 209
0.2178777778	6 50552
0.2178777778	25 211
0.2178777778	406 6
0.2178777778	6 364
0.2178777778	0 13836
0.2178777778	25 833
0.2178777778	25 900
0.2178777778	24 3538
0.2170777778	40 3 7
0.2168777778	160 27
0.2168777778	2393 27
0.2168777778	1444 24
0.2168777778	7996 0
0.2168777778	546 24
0.2168777778	53 1184
0.2168777778	2587 27
0.2168777778	471 27
0.2168777778	726 27
0.2168777778	1088 2
0.2168777778	649 24
0.2168777778	2593 27
0.2168777778	9793 24
0.2168777778	555 27
0.2168777778	25 182
0.2141888889	2 25 3
0.2141888889	99 3
0.2121888889	53 3
0.2111888889	2666 2 3
0.2111888889	74 3
0.2111888889	1985 3
0.2111888889	27 40
